user_content,expected_name,expected_args,pred_name,pred_args,json_valid,raw_output
eve nsl giderim,start_navigation,"{""destination"": ""Ev"", ""mode"": ""driving""}",ask_clarification,"{""missing_field"": ""text"", ""question"": ""Neyi ne yazmamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""text"",""question"":""Neyi ne yazmamı istiyorsunuz?""}}"
Aileden birini ara,ask_clarification,"{""missing_field"": ""recipient"", ""question"": ""Aileden kimi aramamı istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""recipient"", ""question"": ""Kimi aramak istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""recipient"",""question"":""Kimi aramak istiyorsunuz?""}}"
Oyun için 45 dk timer,set_timer,"{""duration_minutes"": 45, ""label"": ""Oyun""}",set_timer,"{""duration_minutes"": 45, ""label"": ""oyun""}",True,"{""name"":""set_timer"",""arguments"":{""duration_minutes"":45,""label"":""oyun""}}"
Onda beni uyar,set_alarm,"{""date"": ""today_or_next_occurrence"", ""label"": null, ""time"": ""10:00""}",set_alarm,"{""date"": ""sunday"", ""label"": null, ""time"": ""20:00""}",True,"{""name"":""set_alarm"",""arguments"":{""time"":""20:00"",""date"":""sunday"",""label"":null}}"
Toplantı belgesi aç,ask_clarification,"{""missing_field"": ""title"", ""question"": ""Toplantı belgesinin başlığı ne olsun?""}",ask_clarification,"{""missing_field"": ""recipient_and_message"", ""question"": ""Mesajı kime ve ne olarak göndermemi istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""recipient_and_message"",""question"":""Mesajı kime ve ne olarak göndermemi istiyorsunuz?""}}"
Kapadokya balon turu fiyatı,search_web,"{""query"": ""Kapadokya sıcak hava balonu turu fiyatları""}",search_web,"{""query"": ""Kapadokya balon turu fiyatı""}",True,"{""name"":""search_web"",""arguments"":{""query"":""Kapadokya balon turu fiyatı""}}"
internetimi paylaşma,ask_clarification,"{""missing_field"": ""value"", ""question"": ""İnternet paylaşımını açmamı mı kapatmamı mı istiyorsunuz?""}",change_device_setting,"{""setting"": ""hotspot"", ""value"": ""off""}",True,"{""name"":""change_device_setting"",""arguments"":{""setting"":""hotspot"",""value"":""off""}}"
Komşuya mesaj at,ask_clarification,"{""missing_field"": ""message"", ""question"": ""Komşunuza hangi mesajı göndereyim?""}",ask_clarification,"{""missing_field"": ""message"", ""question"": ""Hangi mesajı göndermemi istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""message"",""question"":""Hangi mesajı göndermemi istiyorsunuz?""}}"
Not uygulamasına fizyoterapiste bel ağrısının hangi hareketlerde arttığını söyle yaz,create_note,"{""content"": ""fizyoterapiste bel ağrısının hangi hareketlerde arttığını söyle"", ""title"": null}",create_note,"{""content"": ""fizyoterapiste bel ağrısının hangi hareketlerde arttığını"", ""title"": null}",True,"{""name"":""create_note"",""arguments"":{""title"":null,""content"":""fizyoterapiste bel ağrısının hangi hareketlerde arttığını""}}"
Haber ara,ask_clarification,"{""missing_field"": ""query"", ""question"": ""Hangi haberi arayayım?""}",ask_clarification,"{""missing_field"": ""query"", ""question"": ""Hangi haber aramamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""query"",""question"":""Hangi haber aramamı istiyorsunuz?""}}"
Yarınki okul için uyandır,ask_clarification,"{""missing_field"": ""time"", ""question"": ""Okul için yarın saat kaçta uyandırayım?""}",ask_clarification,"{""missing_field"": ""time"", ""question"": ""Yarın okul için saat kaça ayarlayayım?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""time"",""question"":""Yarın okul için saat kaça ayarlayayım?""}}"
Proje notu notuna şunu yaz: yayın öncesi kontrol listesine erişilebilirlik testi eklenmeli,create_note,"{""content"": ""yayın öncesi kontrol listesine erişilebilirlik testi eklenmeli"", ""title"": ""Proje notu""}",create_note,"{""content"": ""yoga öncesi kontrol listesine erişilebilirlik testi eklenmeli"", ""title"": ""Proje notu""}",True,"{""name"":""create_note"",""arguments"":{""title"":""Proje notu"",""content"":""yoga öncesi kontrol listesine erişilebilirlik testi eklenmeli""}}"
Gece modunu ayarla,ask_clarification,"{""missing_field"": ""value"", ""question"": ""Karanlık modu açmamı mı kapatmamı mı istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""value"", ""question"": ""Gece modunu açayım mı kapatayım mı?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""value"",""question"":""Gece modunu açayım mı kapatayım mı?""}}"
kalori takibimi girmemi hatırlat akşam yatmadan önce,create_reminder,"{""date"": null, ""text"": ""Kalori takibini gir"", ""time"": ""23:00""}",create_reminder,"{""date"": ""today"", ""text"": ""kalori takibini gözden geçir"", ""time"": null}",True,"{""name"":""create_reminder"",""arguments"":{""text"":""kalori takibini gözden geçir"",""date"":""today"",""time"":null}}"
E-devlet şifresi nasıl alınır,search_web,"{""query"": ""PTT e-devlet şifresi alma adımları""}",search_web,"{""query"": ""E-devlet kullanıcı şifrelerinin alımı""}",True,"{""name"":""search_web"",""arguments"":{""query"":""E-devlet kullanıcı şifrelerinin alımı""}}"
Proje notu başlıklı not oluştur: mobil bildirim izinleri için kullanıcıya değer anlatan kısa metin yaz,create_note,"{""content"": ""mobil bildirim izinleri için kullanıcıya değer anlatan kısa metin yaz"", ""title"": ""Proje notu""}",create_note,"{""content"": ""mobil bildirim izinleri için kullanıcıya değer anlatan kısa metin"", ""title"": ""Proje notu""}",True,"{""name"":""create_note"",""arguments"":{""title"":""Proje notu"",""content"":""mobil bildirim izinleri için kullanıcıya değer anlatan kısa metin""}}"
Konsolosluğa yol tarifi al,ask_clarification,"{""missing_field"": ""destination"", ""question"": ""Hangi konsolosluğa yol tarifi alayım?""}",start_navigation,"{""destination"": ""Konsolosluğa"", ""mode"": ""driving""}",True,"{""name"":""start_navigation"",""arguments"":{""destination"":""Konsolosluğa"",""mode"":""driving""}}"
Not al: annem aranacak,create_note,"{""content"": ""annem aranacak"", ""title"": ""Proje notu""}",create_note,"{""content"": ""annem aranacak"", ""title"": null}",True,"{""name"":""create_note"",""arguments"":{""title"":null,""content"":""annem aranacak""}}"
Metni Almancaya çevir,ask_clarification,"{""missing_field"": ""text"", ""question"": ""Almancaya çevireceğim metin nedir?""}",call_contact,"{""recipient"": ""Almanca""}",True,"{""name"":""call_contact"",""arguments"":{""recipient"":""Almanca""}}"
Ofisi ara,ask_clarification,"{""missing_field"": ""recipient"", ""question"": ""Hangi ofisi aramamı istiyorsunuz?""}",call_contact,"{""recipient"": ""Ofis""}",True,"{""name"":""call_contact"",""arguments"":{""recipient"":""Ofis""}}"
Yarın 10:00 doktor randevusu,set_alarm,"{""date"": ""tomorrow"", ""label"": ""doktor randevusu"", ""time"": ""10:00""}",create_reminder,"{""date"": ""tomorrow"", ""text"": ""doktor randevusuna git"", ""time"": ""10:00""}",True,"{""name"":""create_reminder"",""arguments"":{""text"":""doktor randevusuna git"",""date"":""tomorrow"",""time"":""10:00""}}"
Telefon ayarlarını aç,open_app,"{""app_name"": ""Ayarlar""}",ask_clarification,"{""missing_field"": ""setting"", ""question"": ""Hangi telefon ayarını değiştirmemi istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""setting"",""question"":""Hangi telefon ayarını değiştirmemi istiyorsunuz?""}}"
Acil durum kişilerine konum at,request_confirmation,"{""action"": ""acil kişilere konum paylaş"", ""question"": ""Acil durum kişilerinize mevcut konumunuz SMS ile gönderilecek. Onaylıyor musunuz?""}",request_confirmation,"{""action"": ""durumu kişisel konum al"", ""question"": ""Bu durum kişisel konumunu açmamı onaylıyor musunuz?""}",True,"{""name"":""request_confirmation"",""arguments"":{""action"":""durumu kişisel konum al"",""question"":""Bu durum kişisel konumunu açmamı onaylıyor musunuz?""}}"
Haritalarda Pendik yolunu göster,start_navigation,"{""destination"": ""Pendik"", ""mode"": ""driving""}",start_navigation,"{""destination"": ""Pendik"", ""mode"": ""walking""}",True,"{""name"":""start_navigation"",""arguments"":{""destination"":""Pendik"",""mode"":""walking""}}"
Aile albümü oluştur,ask_clarification,"{""missing_field"": ""title"", ""question"": ""Aile albümünün adı ne olsun?""}",ask_clarification,"{""missing_field"": ""title"", ""question"": ""Aile albümünü nereye adlandırayım?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""title"",""question"":""Aile albümünü nereye adlandırayım?""}}"
Havalimanı için navigasyon başlat,start_navigation,"{""destination"": ""Havalimanı"", ""mode"": ""walking""}",start_navigation,"{""destination"": ""Havalimanı"", ""mode"": ""driving""}",True,"{""name"":""start_navigation"",""arguments"":{""destination"":""Havalimanı"",""mode"":""driving""}}"
WhatsApp verilerini sıfırla,request_confirmation,"{""action"": ""WhatsApp verilerini sil"", ""question"": ""WhatsApp verilerini sıfırladığınızda tüm hesap bilgileriniz ve geçmişiniz silinir. Devam edilsin mi?""}",request_confirmation,"{""action"": ""WhatsApp verilerini sil"", ""question"": ""WhatsApp uygulamasınıza kayıtlı olan tüm mesaj ve mesajları silinecek. Devam etmek istiyor musunuz?""}",True,"{""name"":""request_confirmation"",""arguments"":{""action"":""WhatsApp verilerini sil"",""question"":""WhatsApp uygulamasınıza kayıtlı olan tüm mesaj ve mesajları silinecek. Devam etmek istiyor musunuz?""}}"
Ekibime whatsapp'tan toplantı başlıyor yaz,send_message,"{""app"": ""whatsapp"", ""message"": ""Toplantı başlıyor."", ""recipient"": ""Ekibim""}",send_message,"{""app"": ""whatsapp"", ""message"": ""Toplantı başlıyor."", ""recipient"": ""Ekibe""}",True,"{""name"":""send_message"",""arguments"":{""recipient"":""Ekibe"",""message"":""Toplantı başlıyor."",""app"":""whatsapp""}}"
Araç muayene randevu tüvtürk,search_web,"{""query"": ""TÜVTÜRK araç muayene randevu alma sistemi""}",search_web,"{""query"": ""Araç muayene randevusunu""}",True,"{""name"":""search_web"",""arguments"":{""query"":""Araç muayene randevusunu""}}"
telefonu sessizden al,change_device_setting,"{""setting"": ""silent_mode"", ""value"": ""off""}",change_device_setting,"{""setting"": ""silent_mode"", ""value"": ""on""}",True,"{""name"":""change_device_setting"",""arguments"":{""setting"":""silent_mode"",""value"":""on""}}"
Hoca'ya mesaj at,ask_clarification,"{""missing_field"": ""message"", ""question"": ""Hoca'ya hangi mesajı göndermemi istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""message"", ""question"": ""Hangi mesajı göndermemi istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""message"",""question"":""Hangi mesajı göndermemi istiyorsunuz?""}}"
Yrn 06.00 alarm,set_alarm,"{""date"": ""tomorrow"", ""label"": null, ""time"": ""06:00""}",set_alarm,"{""date"": ""today_or_next_occurrence"", ""label"": null, ""time"": ""06:00""}",True,"{""name"":""set_alarm"",""arguments"":{""time"":""06:00"",""date"":""today_or_next_occurrence"",""label"":null}}"
Mevhibe'ye sms at doğum günün kutlu olsun seni seviyorum,send_message,"{""app"": ""sms"", ""message"": ""Doğum günün kutlu olsun, seni seviyorum!"", ""recipient"": ""Mevhibe""}",send_message,"{""app"": ""sms"", ""message"": ""Doğum günün kutlu olsun seni seviyorum."", ""recipient"": ""Mevhibe""}",True,"{""name"":""send_message"",""arguments"":{""recipient"":""Mevhibe"",""message"":""Doğum günün kutlu olsun seni seviyorum."",""app"":""sms""}}"
gir bi,ask_clarification,"{""missing_field"": ""app_name"", ""question"": ""Hangi uygulamayı açmamı istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""recipient"", ""question"": ""Kimi aramamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""recipient"",""question"":""Kimi aramamı istiyorsunuz?""}}"
İtalyan makarna sosları,search_web,"{""query"": ""İtalyan makarna sosu tarifleri""}",search_web,"{""query"": ""Italian mafia soslu listeleri""}",True,"{""name"":""search_web"",""arguments"":{""query"":""Italian mafia soslu listeleri""}}"
watsap resimlerini sil,request_confirmation,"{""action"": ""WhatsApp resimlerini sil"", ""question"": ""WhatsApp klasöründeki tüm resimler silinecektir. Bu işlemi onaylıyor musunuz?""}",request_confirmation,"{""action"": ""WhatsApp uygulamasını temizle"", ""question"": ""WhatsApp uygulamasını cihazınızdan kaldırmak istediğinize emin misiniz?""}",True,"{""name"":""request_confirmation"",""arguments"":{""action"":""WhatsApp uygulamasını temizle"",""question"":""WhatsApp uygulamasını cihazınızdan kaldırmak istediğinize emin misiniz?""}}"
başlat şunu,ask_clarification,"{""missing_field"": ""app_name"", ""question"": ""Hangi uygulamayı açmamı istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""text"", ""question"": ""Hangi konuda başlamamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""text"",""question"":""Hangi konuda başlamamı istiyorsunuz?""}}"
Harita uygulamasını aç,open_app,"{""app_name"": ""Haritalar""}",ask_clarification,"{""missing_field"": ""app_name"", ""question"": ""Hangi harita uygulamasını açayım?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""app_name"",""question"":""Hangi harita uygulamasını açayım?""}}"
Kime yazacağını bilmiyorum,ask_clarification,"{""missing_field"": ""recipient"", ""question"": ""Mesajı kime göndermemi istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""recipient_and_message"", ""question"": ""Mesajı kime ve ne olarak göndermemi istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""recipient_and_message"",""question"":""Mesajı kime ve ne olarak göndermemi istiyorsunuz?""}}"
Uyku alarmı kur,ask_clarification,"{""missing_field"": ""time"", ""question"": ""Alarmı saat kaça kurmamı istersiniz?""}",ask_clarification,"{""missing_field"": ""time"", ""question"": ""Uyku alarmını saat kaça kurayım?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""time"",""question"":""Uyku alarmını saat kaça kurayım?""}}"
alo de,ask_clarification,"{""missing_field"": ""recipient"", ""question"": ""Kiminle konuşmak istiyorsunuz?""}",send_message,"{""app"": ""sms"", ""message"": ""de"", ""recipient"": ""Alo""}",True,"{""name"":""send_message"",""arguments"":{""recipient"":""Alo"",""message"":""de"",""app"":""sms""}}"
mesaj nereye gidiyor,ask_clarification,"{""missing_field"": ""recipient"", ""question"": ""Mesajı kime göndermemi istiyorsunuz?""}",ask_clarification,"{""missing_field"": ""recipient_and_message"", ""question"": ""Mesajı kime ve ne olarak göndermemi istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""recipient_and_message"",""question"":""Mesajı kime ve ne olarak göndermemi istiyorsunuz?""}}"
wifiyi napayım,ask_clarification,"{""missing_field"": ""value"", ""question"": ""WiFi ayarını açmamı mı kapatmamı mı istiyorsunuz?""}",change_device_setting,"{""setting"": ""wifi"", ""value"": ""off""}",True,"{""name"":""change_device_setting"",""arguments"":{""setting"":""wifi"",""value"":""off""}}"
Alarm aç saat on bir,set_alarm,"{""date"": ""today_or_next_occurrence"", ""label"": null, ""time"": ""11:00""}",set_alarm,"{""date"": ""today_or_next_occurrence"", ""label"": null, ""time"": ""13:00""}",True,"{""name"":""set_alarm"",""arguments"":{""time"":""13:00"",""date"":""today_or_next_occurrence"",""label"":null}}"
Hemen bir not almam gerekiyor,ask_clarification,"{""missing_field"": ""content"", ""question"": ""Hemen not alıyorum, ne yazmalıyım?""}",ask_clarification,"{""missing_field"": ""content"", ""question"": ""Nota ne yazmamı istiyorsunuz?""}",True,"{""name"":""ask_clarification"",""arguments"":{""missing_field"":""content"",""question"":""Nota ne yazmamı istiyorsunuz?""}}"
